u_true,u_pred,v_true,v_pred,date
-0.01934608,-0.029499939,-0.031633098,-0.03445314,2023-03-23
0.040045593,0.02229819,-0.020911813,-0.015205171,2023-08-04
-0.002255716,-0.005588321,-0.0277055,-0.016647536,2023-09-23
-0.006395618,-0.0029999577,-0.01923993,-0.017932922,2023-06-19
-0.0094740065,-0.018969225,0.006103702,0.018086465,2023-04-11
0.03150041,0.021185437,-0.02242447,-0.0070317388,2023-07-16
-0.019027628,-0.028901203,-0.0035826077,0.00025036745,2023-03-20
-0.03444611,-0.044073544,0.0029987753,-0.002655724,2023-04-14
-0.034897253,-0.02731323,-0.014516195,-0.010944113,2023-04-25
0.052889902,0.022224046,-0.026060153,-0.012692716,2023-08-05
-0.010880512,-0.014198916,-0.018523408,-0.030377824,2023-03-31
0.035242245,0.025092259,-0.03171271,-0.021166284,2023-08-06
-0.020434132,-0.020734308,0.0038745238,0.005244891,2023-05-23
0.026909364,0.020916,-0.036436446,-0.022911452,2023-06-27
-0.016400382,-0.012852138,0.017594583,0.008951193,2023-09-21
0.045883916,0.017758548,-0.0335969,-0.0165453,2023-08-26
-0.033649974,-0.028250871,-0.0060506263,-0.0072587878,2023-04-10
0.025794774,0.013770977,-0.014675423,-0.009507621,2023-06-29
-0.0004511432,0.00859228,-0.003688759,-0.0048564095,2023-03-04
0.026298994,0.013845179,-0.023990203,-0.018787272,2023-06-24
0.04054981,0.018432561,-0.039010618,-0.011523604,2023-07-14
0.017700735,0.017181005,-0.018948013,-0.019914288,2023-07-11
-0.0020434132,0.0040156003,-0.00031845403,-0.0063219722,2023-03-17
-0.018337643,-0.021202156,0.011703185,0.0061424477,2023-03-27
0.030704275,0.020722404,-0.034339957,-0.03252409,2023-08-20
-0.049811516,-0.049183816,0.0039275996,-0.003022423,2023-04-19
0.011198966,0.011964683,-0.085478365,-0.026612177,2023-09-06
-0.0045645074,-0.0040083155,-0.03293345,-0.012858696,2023-09-24
0.02510479,0.015452419,-0.021256804,-0.015442453,2023-08-21
0.040735576,0.013011269,-0.047582336,-0.020785537,2023-08-25
-0.04031097,-0.016419156,-0.011729723,-0.008911097,2023-05-08
0.014861187,0.018537387,-0.022265242,-0.01904992,2023-07-20
0.06597306,0.037459344,-0.030306207,-0.021957021,2023-08-22
0.042195156,0.013948026,-0.060824715,-0.022825338,2023-07-14
0.04522047,0.019915003,-0.027307432,-0.015238915,2023-08-07
